Department,Total_Employees,Female_Count,Female_Percent,Minority_Count,Minority_Percent,Avg_Tenure_Years,Turnover_Rate_Percent,Training_Hours_Per_Employee,Safety_Incidents
Executive,12,5,41.7,3,25.0,8.5,5.0,45,0
Engineering,245,98,40.0,72,29.4,5.2,12.5,120,3
Operations,180,65,36.1,58,32.2,6.8,15.2,95,8
Sales,95,52,54.7,28,29.5,4.1,18.5,80,1
HR,22,18,81.8,8,36.4,7.2,8.0,110,0
Finance,35,19,54.3,11,31.4,6.5,10.5,75,0
Legal,15,9,60.0,4,26.7,9.1,6.0,65,0
Marketing,42,28,66.7,15,35.7,3.8,20.0,85,0
IT,88,32,36.4,25,28.4,4.9,14.8,105,2
Supply_Chain,65,24,36.9,22,33.8,5.5,16.2,90,5
